record_year,current_row_count,current_nb_row_count,current_residential_row_count,current_share_with_bbl,current_share_with_cd,current_share_with_council,current_share_with_latlon,current_distinct_permit_identifier_count,current_duplicate_permit_identifier_row_count,historical_row_count,historical_nb_row_count,historical_residential_row_count,historical_share_with_bbl,historical_share_with_cd,historical_share_with_council,historical_share_with_latlon,historical_distinct_permit_identifier_count,historical_duplicate_permit_identifier_row_count,current_minus_historical_rows,current_minus_historical_nb_rows,current_minus_historical_residential_rows,current_ge_historical_row_count_flag,current_ge_historical_nb_row_count_flag
1989,3672,56,514,1,0.9991830065359476,0.9978213507625272,0.9978213507625272,3672,0,3047,47,418,1,1,0.9977026583524778,0.9977026583524778,3044,6,625,9,96,TRUE,TRUE
1990,27209,910,4371,0.9999264949097724,0.9987871660112464,0.9963614980337387,0.9963614980337387,27209,0,23659,790,3788,0.9999577327866772,0.998309311467095,0.99581554588106,0.99581554588106,23631,50,3550,120,583,TRUE,TRUE
1991,50922,2953,8338,0.9999803621224618,0.9991555712658576,0.9951298063705276,0.9951298063705276,50922,0,45784,2672,7511,0.9999781583085794,0.9994102743316442,0.9943648436134894,0.9943648436134894,45753,60,5138,281,827,TRUE,TRUE
1992,57312,4871,11371,1,0.99911013400335,0.9930206588498046,0.9930206588498046,57312,0,52486,4457,10432,1,0.999828525702092,0.9925503943908852,0.9925503943908852,52459,53,4826,414,939,TRUE,TRUE
1993,62369,5973,12862,1,0.9988135131235067,0.9906203402331286,0.9906203402331286,62369,0,57928,5571,11955,1,0.9998273719099572,0.98943516088938,0.98943516088938,57911,34,4441,402,907,TRUE,TRUE
1994,65849,6280,12831,1,0.9985724916095916,0.9894151771477168,0.9894151771477168,65849,0,61050,5845,11934,1,0.99998361998362,0.9892219492219492,0.9892219492219492,61031,38,4799,435,897,TRUE,TRUE
1995,67542,7221,13743,1,0.9990820526487224,0.9933078676971366,0.9933078676971366,67542,0,63135,6736,12837,1,0.9998891264750138,0.9929516116258812,0.9929516116258812,63095,78,4407,485,906,TRUE,TRUE
1996,71127,8234,15618,1,0.9991704978418884,0.9958946672852784,0.9958946672852784,71127,0,66746,7708,14638,1,0.9999101069727024,0.9957600455458004,0.9957600455458004,66725,38,4381,526,980,TRUE,TRUE
1997,76865,9164,14538,1,0.9992324204774604,0.9963052104338777,0.9963052104338777,76865,0,72796,8630,13744,1,0.9999038408703776,0.9964421122039672,0.9964421122039672,72748,96,4069,534,794,TRUE,TRUE
1998,85420,10671,15638,0.99998829313978,0.9992975883867946,0.996698665417935,0.996698665417935,85420,0,82740,10298,15073,1,0.9999153976311336,0.9969301426154218,0.9969301426154218,82663,153,2680,373,565,TRUE,TRUE
