review_id,raw_application_number,official_application_number,source_text_sha256,narrative_sha256,official_cpc_report_inclusion,local_opposition_present,local_request_or_condition_present,precertification_local_initiation_or_change,development_application_changed,commitment_or_mitigation_present,process_or_study_response_present,explicit_local_causal_response,cpc_approved_with_unresolved_local_objection,local_actor_codes,issue_codes,coding_confidence,evidence_summary,coder,coding_date
RC01,C800459ZMM,C800459ZMM,d4be8da1d596a2efff20fb956d36184666a4e310d595acd6bfc5fb0444cc5c3f,de3df2e64096bb0906c3b25fafa582a3b48989c7973cbecb37042b88f2f40960,included,unclear,1,0,1,0,0,1,0,community_board;civic_or_other_organization,zoning_boundaries;project_scope,medium,"After the public hearing, CPC says that consideration of Community Board and organization recommendations led it to shrink four portions of the proposed rezoning; the related report contains the underlying positions.",codex_gpt5_full_report_review,2026-07-11
RC02,I800151EEUQ,,,,excluded_non_official_c_report,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,high,The sampled item is map/date revision material and is not a distinct certified CPC report in the official C-report universe.,codex_gpt5_full_report_review,2026-07-11
RC03,C820031MMQ,C820031MMQ,34569c62bf9052075136507c69c5b21bda1a5da1eb367dc2e479d6bce3082fc1,38839ee924d67ccf5061c05fd80c2628b911955c27c0a3b799e37482af95cc45,included,0,0,0,1,1,0,0,0,,environmental_mitigation,high,The applicant accepted CEQR conditions and project modifications under a conditional negative declaration; the report does not attribute them to local political opposition or demands.,codex_gpt5_full_report_review,2026-07-11
RC04,C840441HDK,C840441HDK,985658456de8693af84035b64c420ef05b311b7c9307df8dfdb05ec862c65096,65d2f6e755efc7670e8e041a9216d9c400fe5e25f71d338c3faa0f2a5973474b,included,0,1,0,1,1,0,unclear,0,community_board,park_open_space,medium,"CB16 unanimously approved with park-replacement stipulations, and CPC records matching HPD commitments. The report does not establish whether the commitments were created by the CB request or predated it as CEQR modifications.",codex_gpt5_full_report_review,2026-07-11
RC05,C840171ZSM,C840171ZSM,a0a5d798609ae8843250765da1aee2a5ccafb9d91052b65edbc5275603614924,d29e7d0af7ec71e70e0d630045013457f26d5c385becc8aa560086c60c4a686c,included,1,0,0,1,1,0,0,0,other_private_actor,building_height;environmental_mitigation,high,"The proposal fell from 44 to 39 stories before certification and to 37 stories after the CPC hearing; the only stated opponent was Con Edison, and the report does not attribute either reduction to a local community actor.",codex_gpt5_full_report_review,2026-07-11
RC06,C860689ZSK,C860689ZSK,e32f8fabf3c7a8671a095d67b4ba42bf3cd3cd6cce1048206b1edb2df3f2e9d2,91400a4391c9d4138d30609350294e6b1803890e4f9d5717bb2d601a5c8b87a3,included,1,1,0,1,1,1,1,0,community_board;civic_or_other_organization;resident_or_tenant,relocation;displacement;building_design;traffic,high,"The grouped Metrotech report records 14 opponents, detailed CB2 relocation demands, expansion of the CB task force, benefits beyond legal minima, and applicant design commitments. Requested zoning modifications themselves remain non-events.",codex_gpt5_full_report_review,2026-07-11
RC07,C860691ZSK,C860691ZSK,e32f8fabf3c7a8671a095d67b4ba42bf3cd3cd6cce1048206b1edb2df3f2e9d2,91400a4391c9d4138d30609350294e6b1803890e4f9d5717bb2d601a5c8b87a3,included,1,1,0,1,1,1,1,0,community_board;civic_or_other_organization;resident_or_tenant,relocation;displacement;building_design;traffic,high,"This action shares the same grouped Metrotech report as RC06. It contains the same opposition, CB task-force response, relocation commitments, and design changes and must not be counted as an independent narrative.",codex_gpt5_full_report_review,2026-07-11
RC08,C880460PSM,C880460PSM,4c0364ac3be5c25f7ccd21e0fbc40ca2499ca21167f11e2251e96982b98c129e,96b897270f64482570e20ed12c570ee38da1c46b9599bb2bec07fdb8f52a5ced,included,1,1,0,0,0,1,unclear,1,community_board;resident_or_tenant,affordable_housing;school_siting;transit,medium,"CB12 disapproved and proposed alternatives. The FEIS changed in response to an unidentified hearing comment, so the report does not establish that a local actor caused that response.",codex_gpt5_full_report_review,2026-07-11
RC09,C900916PQK,C900916PQK,bf2f3156cd6774c446030a4d3569e2d61c9dddf94b53319f9de6966c21190409,340ec1cd43f7dcf45c19a6c6bdb5d778ae9ad7f778f03f894023e3a16d9a6d79,included,0,1,0,0,1,0,unclear,0,community_board;borough_president,building_repairs;lease_terms,medium,"CB8 and the BP approved with roof-repair and lease conditions. CPC shared their concerns, and HRA assured repairs and submitted a scope report in response to CPC; the local-to-response causal chain is plausible but not stated directly.",codex_gpt5_full_report_review,2026-07-11
RC10,C920019PSM,C920019PSM,2cba7df01fed94e8a8fc542e7be6214e0d261a08918becdb6841af96abc86145,31a87856e8c8a8db9e546d49871e0ceb3dca386e9a9fd72f18cec210608b1771,included,1,1,0,1,1,0,1,0,community_board;borough_president;council_member;civic_or_other_organization;resident_or_tenant,waterfront_open_space;fueling;traffic;environment,high,"CB3, the BP, Council members, residents, and businesses opposed the facility. After the hearings DGS eliminated multi-agency fueling, reduced agency uses and fuel capacity, added an esplanade and open space, and limited new uses to seven years in response to review concerns.",codex_gpt5_full_report_review,2026-07-11
