zoning_code,district_family,residential_allowed_flag,commercial_allowed_flag,manufacturing_allowed_flag,contextual_flag,height_factor_flag,residential_equivalent_code,approx_resid_far,standard_resid_far_min,standard_resid_far_max,mih_resid_far,community_facility_far,commercial_far,manufacturing_far,source_url,source_note
R1-1,residential,TRUE,FALSE,FALSE,FALSE,FALSE,,0.50,0.50,0.50,,1.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R1-2,residential,TRUE,FALSE,FALSE,FALSE,FALSE,,0.50,0.50,0.50,,1.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R1-2A,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,0.50,0.50,0.50,,1.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R2,residential,TRUE,FALSE,FALSE,FALSE,FALSE,,0.50,0.50,0.50,,1.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R2A,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,0.50,0.50,0.50,,1.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R2X,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,0.85,0.85,0.85,,1.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R3-1,residential,TRUE,FALSE,FALSE,FALSE,FALSE,,0.50,0.50,0.50,,1.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R3-2,residential,TRUE,FALSE,FALSE,FALSE,FALSE,,0.50,0.50,0.50,,1.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R3A,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,0.50,0.50,0.50,,1.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
R3X,residential,TRUE,FALSE,FALSE,TRUE,FALSE,,0.50,0.50,0.50,,1.00,,,https://home4.nyc.gov/assets/planning/downloads/pdf/zoning/zoning-districts-guide/residence-districts/residence_zoning_data_tables.pdf,DCP Residence Districts zoning data table.
